datetime,activity_count,axis_x,axis_y,axis_z,vector_magnitude
2000-01-01 00:48:00,71,20,52,0,55.36
2000-01-01 00:49:00,40,7,22,10,25.38
2000-01-01 00:50:00,71,11,51,9,53.19
2000-01-01 00:51:00,22,4,11,6,13.42
2000-01-01 00:52:00,27,6,15,5,17.40
2000-01-01 00:53:00,45,8,33,4,34.16
2000-01-01 00:54:00,51,5,31,15,34.56
2000-01-01 00:55:00,73,8,58,7,58.83
2000-01-01 00:56:00,56,17,35,4,39.07
2000-01-01 00:57:00,45,13,32,0,34.57
2000-01-01 00:58:00,62,18,49,0,51.85
2000-01-01 00:59:00,65,13,50,2,52.13
2000-01-01 01:00:00,60,8,40,12,42.48
2000-01-01 01:01:00,61,13,34,14,38.71
2000-01-01 01:02:00,33,8,19,6,21.27
2000-01-01 01:03:00,56,11,39,5,41.40
2000-01-01 01:04:00,83,19,58,6,61.40
2000-01-01 01:05:00,38,4,21,13,24.65
2000-01-01 01:06:00,72,18,48,6,51.77
2000-01-01 01:07:00,43,12,31,1,32.93
2000-01-01 01:08:00,65,13,46,6,48.17
2000-01-01 01:09:00,83,16,45,22,52.77
2000-01-01 01:10:00,53,10,38,4,39.78
2000-01-01 01:11:00,28,8,15,5,17.87
2000-01-01 01:12:00,43,11,25,7,28.32
2000-01-01 01:13:00,49,7,35,7,36.56
2000-01-01 01:14:00,16,3,9,4,10.30
2000-01-01 01:15:00,36,7,22,7,23.95
2000-01-01 01:16:00,35,10,18,8,21.64
2000-01-01 01:17:00,56,10,33,13,36.61
2000-01-01 01:18:00,56,11,43,2,44.20
2000-01-01 01:19:00,36,9,25,1,27.04
2000-01-01 01:20:00,141,29,112,0,115.46
2000-01-01 01:21:00,104,19,55,30,65.37
2000-01-01 01:22:00,70,13,42,15,46.07
2000-01-01 01:23:00,19,3,15,1,14.94
2000-01-01 01:24:00,80,23,41,15,49.59
2000-01-01 01:25:00,40,4,21,15,26.03
2000-01-01 01:26:00,16,3,9,4,10.18
2000-01-01 01:27:00,48,14,33,1,35.86
2000-01-01 01:28:00,103,22,61,20,67.97
2000-01-01 01:29:00,105,30,64,10,72.00
2000-01-01 01:30:00,29,7,17,5,18.82
2000-01-01 01:31:00,31,7,23,2,24.26
2000-01-01 01:32:00,24,6,13,6,15.08
2000-01-01 01:33:00,27,5,17,5,18.38
2000-01-01 01:34:00,85,17,47,21,54.34
2000-01-01 01:35:00,67,13,49,5,50.77
2000-01-01 01:36:00,90,26,52,13,59.10
2000-01-01 01:37:00,37,9,25,4,26.65
2000-01-01 01:38:00,39,7,25,7,27.31
2000-01-01 01:39:00,39,8,30,1,30.98
2000-01-01 01:40:00,51,11,32,8,34.40
2000-01-01 01:41:00,35,4,22,9,24.10
2000-01-01 01:42:00,39,7,27,5,28.37
2000-01-01 01:43:00,53,9,35,9,37.48
2000-01-01 01:44:00,48,8,34,6,35.44
2000-01-01 01:45:00,59,13,35,12,38.85
2000-01-01 01:46:00,80,13,60,7,62.06
2000-01-01 01:47:00,43,5,23,15,28.18
2000-01-01 01:48:00,31,8,22,2,23.21
2000-01-01 01:49:00,37,6,29,2,29.72
2000-01-01 01:50:00,27,3,19,4,19.62
2000-01-01 01:51:00,33,7,21,5,22.66
2000-01-01 01:52:00,74,12,57,5,58.39
2000-01-01 01:53:00,56,16,29,11,34.99
2000-01-01 01:54:00,57,12,32,12,36.69
2000-01-01 01:55:00,33,3,21,8,22.73
2000-01-01 01:56:00,40,6,21,13,25.56
2000-01-01 01:57:00,22,3,16,3,16.65
2000-01-01 01:58:00,35,4,20,10,22.95
2000-01-01 01:59:00,74,14,47,13,50.88
2000-01-01 02:00:00,39,7,26,6,27.67
2000-01-01 02:01:00,96,10,65,21,69.28
2000-01-01 02:02:00,27,3,18,6,19.47
2000-01-01 02:03:00,149,20,109,20,112.22
2000-01-01 02:04:00,51,10,41,1,42.08
2000-01-01 02:05:00,48,6,26,16,30.96
2000-01-01 02:06:00,44,11,27,6,29.95
2000-01-01 02:07:00,41,11,31,0,32.73
2000-01-01 02:08:00,49,10,33,6,35.15
2000-01-01 02:09:00,48,8,26,14,30.52
2000-01-01 02:10:00,379,98,261,19,279.54
2000-01-01 02:11:00,203,25,153,25,156.67
2000-01-01 02:12:00,30,6,19,5,20.58
2000-01-01 02:13:00,48,12,33,3,35.05
2000-01-01 02:14:00,29,7,14,7,17.58
2000-01-01 02:15:00,90,17,69,5,70.85
2000-01-01 02:16:00,49,14,30,5,33.63
2000-01-01 02:17:00,37,6,23,8,24.85
2000-01-01 02:18:00,40,10,32,0,33.28
2000-01-01 02:19:00,57,17,31,10,36.25
2000-01-01 02:20:00,44,12,23,8,27.41
2000-01-01 02:21:00,32,5,17,10,19.94
2000-01-01 02:22:00,66,18,45,2,48.90
2000-01-01 02:23:00,49,12,28,9,31.73
2000-01-01 02:24:00,41,10,32,0,34.00
2000-01-01 02:25:00,59,6,35,18,39.71
2000-01-01 02:26:00,44,6,27,10,29.81
2000-01-01 02:27:00,41,9,23,9,25.98
2000-01-01 02:28:00,38,6,26,7,27.15
2000-01-01 02:29:00,60,12,46,2,47.93
2000-01-01 02:30:00,35,11,28,0,29.69
2000-01-01 02:31:00,65,18,52,0,54.64
2000-01-01 02:32:00,31,8,18,5,20.62
2000-01-01 02:33:00,46,14,34,0,36.58
2000-01-01 02:34:00,65,9,37,19,42.52
2000-01-01 02:35:00,24,3,17,4,17.35
2000-01-01 02:36:00,262,28,193,41,198.93
2000-01-01 02:37:00,45,8,27,10,29.55
2000-01-01 02:38:00,18,4,11,3,11.93
2000-01-01 02:39:00,41,12,32,0,34.23
2000-01-01 02:40:00,16,2,10,4,10.86
2000-01-01 02:41:00,64,11,45,8,46.76
2000-01-01 02:42:00,89,14,55,20,60.13
2000-01-01 02:43:00,32,6,19,8,21.04
2000-01-01 02:44:00,59,13,38,8,40.73
2000-01-01 02:45:00,81,18,56,6,59.69
2000-01-01 02:46:00,46,5,24,16,29.84
2000-01-01 02:47:00,35,6,21,7,23.30
2000-01-01 02:48:00,54,12,41,0,42.96
2000-01-01 02:49:00,95,23,55,17,62.07
2000-01-01 02:50:00,34,10,21,3,23.50
2000-01-01 02:51:00,19,3,10,6,11.70
2000-01-01 02:52:00,65,19,45,1,48.89
2000-01-01 02:53:00,30,4,22,4,23.12
2000-01-01 02:54:00,86,13,64,9,66.03
2000-01-01 02:55:00,130,39,76,16,86.48
2000-01-01 02:56:00,64,11,35,18,40.68
2000-01-01 02:57:00,279,34,175,70,191.18
2000-01-01 02:58:00,28,5,19,4,20.01
2000-01-01 02:59:00,29,7,23,0,23.68
2000-01-01 03:00:00,285,77,228,0,240.50
2000-01-01 03:01:00,47,13,30,4,32.82
2000-01-01 03:02:00,43,9,29,4,31.17
2000-01-01 03:03:00,64,13,38,14,42.24
2000-01-01 03:04:00,39,11,27,1,29.23
2000-01-01 03:05:00,66,12,51,3,52.28
2000-01-01 03:06:00,75,12,44,18,49.42
2000-01-01 03:07:00,65,12,34,19,40.76
2000-01-01 03:08:00,67,19,35,13,41.58
2000-01-01 03:09:00,57,17,44,0,46.75
2000-01-01 03:10:00,25,4,15,6,16.77
2000-01-01 03:11:00,28,7,18,2,19.47
2000-01-01 03:12:00,39,6,23,11,25.72
2000-01-01 03:13:00,44,10,30,3,32.40
2000-01-01 03:14:00,56,6,39,10,41.15
2000-01-01 03:15:00,25,3,15,6,16.65
2000-01-01 03:16:00,23,7,17,0,18.12
2000-01-01 03:17:00,26,3,17,6,18.19
2000-01-01 03:18:00,41,11,28,2,29.91
2000-01-01 03:19:00,46,7,29,11,31.68
2000-01-01 03:20:00,51,11,36,4,37.56
2000-01-01 03:21:00,51,6,41,5,41.60
2000-01-01 03:22:00,115,23,62,30,72.57
2000-01-01 03:23:00,47,10,27,10,30.44
2000-01-01 03:24:00,61,11,44,5,45.53
2000-01-01 03:25:00,48,9,30,9,32.99
2000-01-01 03:26:00,58,8,46,4,46.53
2000-01-01 03:27:00,92,17,56,19,61.54
2000-01-01 03:28:00,30,8,16,6,18.68
2000-01-01 03:29:00,63,14,33,16,39.27
2000-01-01 03:30:00,51,15,31,5,34.95
2000-01-01 03:31:00,57,8,33,16,37.35
2000-01-01 03:32:00,60,14,40,5,42.89
2000-01-01 03:33:00,110,32,66,12,74.12
2000-01-01 03:34:00,39,10,27,2,29.00
2000-01-01 03:35:00,55,6,35,14,38.58
2000-01-01 03:36:00,44,5,35,4,35.23
2000-01-01 03:37:00,56,14,44,0,46.13
2000-01-01 03:38:00,53,16,35,3,38.16
2000-01-01 03:39:00,41,5,33,4,33.33
2000-01-01 03:40:00,56,11,45,0,46.03
2000-01-01 03:41:00,57,14,35,7,38.56
2000-01-01 03:42:00,57,10,34,13,38.22
2000-01-01 03:43:00,54,16,40,0,43.43
2000-01-01 03:44:00,55,15,38,1,41.24
2000-01-01 03:45:00,33,8,18,7,20.99
2000-01-01 03:46:00,25,3,15,7,16.78
2000-01-01 03:47:00,50,8,40,2,40.48
2000-01-01 03:48:00,64,10,35,19,40.83
2000-01-01 03:49:00,77,16,56,6,57.98
2000-01-01 03:50:00,131,17,89,25,94.05
2000-01-01 03:51:00,23,6,18,0,18.82
2000-01-01 03:52:00,29,7,23,0,24.22
2000-01-01 03:53:00,118,35,68,16,77.51
2000-01-01 03:54:00,25,6,16,3,17.15
2000-01-01 03:55:00,75,11,41,24,48.77
2000-01-01 03:56:00,92,16,59,17,63.42
2000-01-01 03:57:00,51,10,28,13,32.25
2000-01-01 03:58:00,53,14,41,0,43.28
2000-01-01 03:59:00,45,5,28,12,30.72
2000-01-01 04:00:00,37,6,27,4,27.60
2000-01-01 04:01:00,90,17,65,7,67.77
2000-01-01 04:02:00,335,74,262,0,272.63
2000-01-01 04:03:00,39,6,21,12,24.86
2000-01-01 04:04:00,66,13,49,3,51.06
2000-01-01 04:05:00,54,9,38,7,39.96
2000-01-01 04:06:00,53,9,35,9,37.33
2000-01-01 04:07:00,104,11,68,25,73.19
2000-01-01 04:08:00,44,5,27,12,29.68
2000-01-01 04:09:00,29,7,19,2,20.76
2000-01-01 04:10:00,33,9,23,1,24.50
2000-01-01 04:11:00,49,14,35,0,37.81
2000-01-01 04:12:00,41,8,31,2,31.71
2000-01-01 04:13:00,272,42,189,40,197.96
2000-01-01 04:14:00,74,22,47,6,51.76
2000-01-01 04:15:00,43,11,26,6,29.21
2000-01-01 04:16:00,41,12,26,3,29.04
2000-01-01 04:17:00,36,6,21,9,23.83
2000-01-01 04:18:00,43,8,27,8,29.72
2000-01-01 04:19:00,58,6,43,9,44.19
2000-01-01 04:20:00,62,8,45,9,46.40
2000-01-01 04:21:00,63,14,36,13,40.84
2000-01-01 04:22:00,47,6,25,16,30.27
2000-01-01 04:23:00,43,5,34,5,34.77
2000-01-01 04:24:00,31,8,17,6,19.48
2000-01-01 04:25:00,61,18,43,0,46.55
2000-01-01 04:26:00,39,9,21,8,24.67
2000-01-01 04:27:00,77,12,45,19,50.41
2000-01-01 04:28:00,21,4,12,6,13.45
2000-01-01 04:29:00,66,14,40,12,44.32
2000-01-01 04:30:00,12,1,9,1,9.54
2000-01-01 04:31:00,38,7,24,7,26.01
2000-01-01 04:32:00,53,10,28,15,33.30
2000-01-01 04:33:00,51,11,34,6,36.01
2000-01-01 04:34:00,63,17,48,0,50.52
2000-01-01 04:35:00,51,7,40,4,40.63
2000-01-01 04:36:00,99,14,52,33,63.27
2000-01-01 04:37:00,79,9,54,16,57.35
2000-01-01 04:38:00,64,14,36,14,41.01
2000-01-01 04:39:00,78,21,40,17,48.37
2000-01-01 04:40:00,66,15,44,7,46.93
2000-01-01 04:41:00,55,14,31,9,35.77
2000-01-01 04:42:00,44,8,24,12,28.07
2000-01-01 04:43:00,48,8,36,4,37.48
2000-01-01 04:44:00,87,18,63,6,65.70
2000-01-01 04:45:00,34,4,22,8,23.53
2000-01-01 04:46:00,79,21,61,0,64.53
2000-01-01 04:47:00,38,11,24,3,26.75
2000-01-01 04:48:00,50,7,32,11,34.35
2000-01-01 04:49:00,53,14,36,3,39.05
2000-01-01 04:50:00,302,52,175,75,197.04
2000-01-01 04:51:00,46,8,31,7,32.88
2000-01-01 04:52:00,39,10,26,3,27.91
2000-01-01 04:53:00,63,11,33,19,39.84
2000-01-01 04:54:00,45,5,28,12,30.55
2000-01-01 04:55:00,80,10,61,8,62.55
2000-01-01 04:56:00,80,21,55,4,58.73
2000-01-01 04:57:00,58,12,37,8,39.99
2000-01-01 04:58:00,49,9,26,14,30.96
2000-01-01 04:59:00,105,24,61,20,68.25
2000-01-01 05:00:00,49,9,36,4,36.81
2000-01-01 05:01:00,68,9,49,10,50.51
2000-01-01 05:02:00,46,9,26,11,29.78
2000-01-01 05:03:00,58,14,42,2,44.31
2000-01-01 05:04:00,52,9,33,9,35.66
2000-01-01 05:05:00,93,22,62,9,66.27
2000-01-01 05:06:00,117,23,68,26,76.03
2000-01-01 05:07:00,80,24,62,0,66.73
2000-01-01 05:08:00,98,19,64,15,68.22
2000-01-01 05:09:00,99,21,58,20,64.65
2000-01-01 05:10:00,68,17,41,10,45.46
2000-01-01 05:11:00,63,13,37,13,41.12
2000-01-01 05:12:00,41,5,24,13,27.47
2000-01-01 05:13:00,73,12,39,22,46.53
2000-01-01 05:14:00,47,14,37,0,39.54
2000-01-01 05:15:00,24,6,16,3,16.81
2000-01-01 05:16:00,65,17,34,15,40.39
2000-01-01 05:17:00,58,6,44,8,44.84
2000-01-01 05:18:00,85,9,66,10,67.77
2000-01-01 05:19:00,20,2,12,6,13.36
2000-01-01 05:20:00,34,7,21,7,22.84
2000-01-01 05:21:00,62,12,34,16,39.31
2000-01-01 05:22:00,21,5,15,1,15.78
2000-01-01 05:23:00,42,9,24,9,26.98
2000-01-01 05:24:00,59,11,36,13,39.36
2000-01-01 05:25:00,272,52,167,53,183.05
2000-01-01 05:26:00,39,6,26,7,27.53
2000-01-01 05:27:00,44,6,28,10,30.22
2000-01-01 05:28:00,74,11,45,18,49.61
2000-01-01 05:29:00,95,17,76,3,77.78
2000-01-01 05:30:00,130,31,95,5,99.77
2000-01-01 05:31:00,70,12,46,12,48.86
2000-01-01 05:32:00,31,6,24,2,24.34
2000-01-01 05:33:00,80,15,61,3,63.41
2000-01-01 05:34:00,43,7,30,6,31.78
2000-01-01 05:35:00,29,3,19,7,20.54
2000-01-01 05:36:00,49,11,26,11,30.64
2000-01-01 05:37:00,21,4,17,1,17.01
2000-01-01 05:38:00,69,21,37,11,43.65
2000-01-01 05:39:00,46,11,34,0,36.16
2000-01-01 05:40:00,96,17,60,19,65.56
2000-01-01 05:41:00,35,10,19,6,22.24
2000-01-01 05:42:00,68,10,52,6,53.35
2000-01-01 05:43:00,23,6,16,1,17.20
2000-01-01 05:44:00,45,6,33,6,34.32
2000-01-01 05:45:00,103,27,75,0,80.14
2000-01-01 05:46:00,46,11,31,3,33.21
2000-01-01 05:47:00,24,4,12,8,14.90
2000-01-01 05:48:00,59,11,42,6,43.87
2000-01-01 05:49:00,42,6,24,12,27.32
2000-01-01 05:50:00,68,12,35,20,42.52
2000-01-01 05:51:00,44,7,25,11,28.64
2000-01-01 05:52:00,28,8,19,2,20.39
2000-01-01 05:53:00,29,3,15,11,18.95
2000-01-01 05:54:00,86,12,49,25,56.16
2000-01-01 05:55:00,77,11,43,23,50.14
2000-01-01 05:56:00,101,24,78,0,81.77
2000-01-01 05:57:00,64,10,38,16,42.59
2000-01-01 05:58:00,47,13,28,5,31.58
2000-01-01 05:59:00,44,7,32,5,33.23
2000-01-01 06:00:00,344,73,174,98,212.36
2000-01-01 06:01:00,62,9,35,18,40.45
2000-01-01 06:02:00,54,9,42,3,42.94
2000-01-01 06:03:00,73,14,53,6,54.92
2000-01-01 06:04:00,65,9,43,13,46.02
2000-01-01 06:05:00,101,27,53,22,63.16
2000-01-01 06:06:00,24,3,13,8,15.63
2000-01-01 06:07:00,48,14,38,0,40.08
2000-01-01 06:08:00,128,27,92,10,96.05
2000-01-01 06:09:00,36,11,23,3,25.42
2000-01-01 06:10:00,51,9,29,13,33.37
2000-01-01 06:11:00,63,9,40,14,43.59
2000-01-01 06:12:00,62,18,32,11,38.68
2000-01-01 06:13:00,56,11,34,11,37.62
2000-01-01 06:14:00,70,16,53,1,55.27
2000-01-01 06:15:00,75,16,53,6,55.48
2000-01-01 06:16:00,60,8,42,10,44.07
2000-01-01 06:17:00,39,11,29,0,31.06
2000-01-01 06:18:00,36,8,27,0,28.18
2000-01-01 06:19:00,52,12,39,1,40.67
2000-01-01 06:20:00,44,10,23,11,27.46
2000-01-01 06:21:00,62,14,37,11,40.79
2000-01-01 06:22:00,73,13,49,12,51.66
2000-01-01 06:23:00,29,5,21,3,21.64
2000-01-01 06:24:00,41,10,25,5,27.71
2000-01-01 06:25:00,33,10,17,6,20.72
2000-01-01 06:26:00,42,8,22,12,26.48
2000-01-01 06:27:00,54,11,29,14,34.07
2000-01-01 06:28:00,70,13,35,22,43.22
2000-01-01 06:29:00,106,16,84,6,85.80
2000-01-01 06:30:00,53,8,31,14,34.50
2000-01-01 06:31:00,37,9,22,6,24.18
2000-01-01 06:32:00,69,9,44,16,47.72
2000-01-01 06:33:00,27,7,17,3,18.68
2000-01-01 06:34:00,46,10,32,4,33.97
2000-01-01 06:35:00,35,5,22,8,23.96
2000-01-01 06:36:00,45,13,31,1,33.59
2000-01-01 06:37:00,68,12,50,6,51.79
2000-01-01 06:38:00,74,19,41,14,47.53
2000-01-01 06:39:00,76,9,57,10,58.17
2000-01-01 06:40:00,58,8,33,17,38.22
2000-01-01 06:41:00,46,10,31,5,32.90
2000-01-01 06:42:00,70,7,44,19,47.92
2000-01-01 06:43:00,88,13,47,28,56.18
2000-01-01 06:44:00,58,13,39,6,41.31
2000-01-01 06:45:00,27,4,14,9,17.38
2000-01-01 06:46:00,75,13,43,20,48.78
2000-01-01 06:47:00,46,14,25,7,29.45
2000-01-01 06:48:00,49,13,26,10,30.69
2000-01-01 06:49:00,65,13,48,4,49.64
2000-01-01 06:50:00,44,5,28,11,30.61
2000-01-01 06:51:00,29,8,22,0,23.24
2000-01-01 06:52:00,72,13,43,16,47.80
2000-01-01 06:53:00,44,10,24,9,27.81
2000-01-01 06:54:00,37,7,24,7,25.57
2000-01-01 06:55:00,29,7,19,2,20.89
2000-01-01 06:56:00,52,12,28,12,32.75
2000-01-01 06:57:00,40,7,25,8,26.85
2000-01-01 06:58:00,32,8,18,7,20.53
2000-01-01 06:59:00,61,8,35,19,40.37
2000-01-01 07:00:00,629,179,189,261,368.74
2000-01-01 07:01:00,689,275,118,295,420.75
2000-01-01 07:02:00,698,261,142,296,419.04
2000-01-01 07:03:00,728,227,226,274,421.85
2000-01-01 07:04:00,583,126,225,232,346.84
2000-01-01 07:05:00,699,171,314,214,416.79
2000-01-01 07:06:00,743,165,273,305,441.27
2000-01-01 07:07:00,782,241,151,390,482.76
2000-01-01 07:08:00,834,305,261,267,482.67
2000-01-01 07:09:00,762,192,336,234,452.24
2000-01-01 07:10:00,774,280,225,269,448.61
2000-01-01 07:11:00,677,193,198,286,397.73
2000-01-01 07:12:00,135,42,45,48,78.10
2000-01-01 07:13:00,810,316,158,336,487.77
2000-01-01 07:14:00,2829,1085,450,1293,1747.18
2000-01-01 07:15:00,818,299,157,362,494.84
2000-01-01 07:16:00,769,251,266,253,444.34
2000-01-01 07:17:00,734,223,278,234,425.97
2000-01-01 07:18:00,867,258,270,339,504.57
2000-01-01 07:19:00,975,325,269,382,568.73
2000-01-01 07:20:00,845,333,192,321,500.12
2000-01-01 07:21:00,870,272,236,361,510.26
2000-01-01 07:22:00,931,195,315,421,560.88
2000-01-01 07:23:00,896,179,369,348,537.94
2000-01-01 07:24:00,791,261,272,258,456.75
2000-01-01 07:25:00,2302,766,807,729,1330.37
2000-01-01 07:26:00,957,317,308,332,552.50
2000-01-01 07:27:00,3048,881,936,1231,1779.64
2000-01-01 07:28:00,970,276,211,483,595.12
2000-01-01 07:29:00,2929,801,1189,939,1713.54
2000-01-01 07:30:00,318,97,116,105,184.18
2000-01-01 07:31:00,1097,266,425,406,645.20
2000-01-01 07:32:00,1041,229,482,330,627.56
2000-01-01 07:33:00,1079,308,371,399,626.21
2000-01-01 07:34:00,3370,1083,871,1415,1983.73
2000-01-01 07:35:00,1043,335,352,356,602.22
2000-01-01 07:36:00,1025,389,317,319,594.44
2000-01-01 07:37:00,995,394,198,404,597.55
2000-01-01 07:38:00,289,79,90,119,169.33
2000-01-01 07:39:00,246,60,111,74,146.70
2000-01-01 07:40:00,3339,945,1058,1336,1948.96
2000-01-01 07:41:00,972,224,352,396,575.51
2000-01-01 07:42:00,1064,296,335,433,622.23
2000-01-01 07:43:00,1251,328,387,536,738.35
2000-01-01 07:44:00,402,129,116,157,234.10
2000-01-01 07:45:00,136,41,54,41,79.36
2000-01-01 07:46:00,1019,238,329,453,608.03
2000-01-01 07:47:00,331,95,115,121,191.88
2000-01-01 07:48:00,535,160,175,199,309.86
2000-01-01 07:49:00,1055,400,176,480,648.50
2000-01-01 07:50:00,329,97,117,115,190.76
2000-01-01 07:51:00,1149,238,346,565,704.24
2000-01-01 07:52:00,1427,491,389,547,831.80
2000-01-01 07:53:00,1158,388,395,375,668.88
2000-01-01 07:54:00,1379,404,542,433,802.64
2000-01-01 07:55:00,1505,438,589,477,875.72
2000-01-01 07:56:00,1359,433,393,534,791.50
2000-01-01 07:57:00,1484,459,362,663,883.99
2000-01-01 07:58:00,1337,492,351,494,780.45
2000-01-01 07:59:00,2937,768,854,1314,1745.62
2000-01-01 08:00:00,1563,331,609,623,931.99
2000-01-01 08:01:00,1365,464,349,551,800.88
2000-01-01 08:02:00,1334,402,377,555,782.05
2000-01-01 08:03:00,1432,354,372,706,872.61
2000-01-01 08:04:00,1371,502,350,519,802.70
2000-01-01 08:05:00,3751,1189,852,1711,2250.66
2000-01-01 08:06:00,270,79,69,123,161.31
2000-01-01 08:07:00,206,75,41,90,123.99
2000-01-01 08:08:00,338,94,77,167,206.74
2000-01-01 08:09:00,1430,295,423,712,879.42
2000-01-01 08:10:00,196,44,62,90,117.53
2000-01-01 08:11:00,1368,499,423,446,791.55
2000-01-01 08:12:00,2310,497,696,1117,1406.58
2000-01-01 08:13:00,437,98,137,202,262.81
2000-01-01 08:14:00,4249,1175,1378,1696,2481.37
2000-01-01 08:15:00,1499,384,610,506,880.37
2000-01-01 08:16:00,1721,648,385,688,1020.41
2000-01-01 08:17:00,3731,1139,813,1780,2263.73
2000-01-01 08:18:00,1704,471,715,518,1000.54
2000-01-01 08:19:00,1501,417,483,601,876.82
2000-01-01 08:20:00,3704,1340,1045,1319,2151.09
2000-01-01 08:21:00,1634,645,172,817,1055.20
2000-01-01 08:22:00,1672,590,334,748,1009.72
2000-01-01 08:23:00,1809,700,426,683,1066.72
2000-01-01 08:24:00,1754,558,544,652,1016.17
2000-01-01 08:25:00,1821,569,500,752,1067.25
2000-01-01 08:26:00,1885,391,862,632,1138.07
2000-01-01 08:27:00,1464,293,578,593,878.57
2000-01-01 08:28:00,1509,564,250,695,929.01
2000-01-01 08:29:00,2595,966,412,1218,1607.93
2000-01-01 08:30:00,1567,345,628,594,930.84
2000-01-01 08:31:00,1570,467,431,672,924.64
2000-01-01 08:32:00,2236,863,393,981,1364.10
2000-01-01 08:33:00,1642,425,483,733,975.74
2000-01-01 08:34:00,2031,565,471,995,1237.09
2000-01-01 08:35:00,1877,458,492,926,1144.98
2000-01-01 08:36:00,1833,395,766,671,1092.69
2000-01-01 08:37:00,475,179,93,203,286.55
2000-01-01 08:38:00,4046,1392,803,1850,2450.91
2000-01-01 08:39:00,2156,813,279,1065,1367.92
2000-01-01 08:40:00,2017,637,457,923,1210.93
2000-01-01 08:41:00,1779,657,562,560,1029.96
2000-01-01 08:42:00,2056,477,597,982,1244.37
2000-01-01 08:43:00,1938,618,703,618,1121.16
2000-01-01 08:44:00,2166,621,632,913,1272.09
2000-01-01 08:45:00,1752,595,565,592,1011.57
2000-01-01 08:46:00,2167,604,872,692,1265.92
2000-01-01 08:47:00,1850,528,633,688,1074.17
2000-01-01 08:48:00,296,117,52,127,180.16
2000-01-01 08:49:00,1731,516,559,657,1004.87
2000-01-01 08:50:00,1962,466,758,738,1156.08
2000-01-01 08:51:00,2283,579,916,788,1339.90
2000-01-01 08:52:00,4816,1362,1231,2223,2882.89
2000-01-01 08:53:00,1800,553,556,691,1045.08
2000-01-01 08:54:00,1888,490,742,655,1104.81
2000-01-01 08:55:00,2298,771,470,1057,1390.12
2000-01-01 08:56:00,1857,724,409,724,1102.56
2000-01-01 08:57:00,2418,694,521,1203,1483.65
2000-01-01 08:58:00,1994,762,531,701,1163.75
2000-01-01 08:59:00,2099,638,472,989,1267.95
2000-01-01 09:00:00,1993,607,540,846,1172.80
2000-01-01 09:01:00,2174,478,624,1072,1328.95
2000-01-01 09:02:00,341,92,110,139,199.68
2000-01-01 09:03:00,2072,581,798,693,1205.81
2000-01-01 09:04:00,2412,912,758,742,1398.99
2000-01-01 09:05:00,2089,559,748,782,1218.06
2000-01-01 09:06:00,2058,698,540,820,1204.66
2000-01-01 09:07:00,2279,602,640,1036,1358.86
2000-01-01 09:08:00,2108,511,886,712,1245.91
2000-01-01 09:09:00,1936,694,640,603,1119.56
